Subject Source Id	Predicate Source Id	object Source Id	relationship type Source Id
DOID_0050486	subClassOf	EUPATH_0000309	
DOID_1074	subClassOf	EUPATH_0000309	
DOID_13250	subClassOf	EUPATH_0000309	
ENVO_00003064	subClassOf	EUPATH_0000302	
EUPATH_0000001	subClassOf	EUPATH_0000303	
EUPATH_0000002	subClassOf	EUPATH_0000301	
EUPATH_0000003	subClassOf	EUPATH_0000303	
EUPATH_0000019	subClassOf	EUPATH_0000304	
EUPATH_0000033	subClassOf	EUPATH_0000306	
EUPATH_0000038	subClassOf	OGMS_0000073	
EUPATH_0000043	subClassOf	OGMS_0000073	
EUPATH_0000047	subClassOf	OGMS_0000018	
EUPATH_0000057	subClassOf	EUPATH_0000328	
EUPATH_0000058	subClassOf	EUPATH_0000057	
EUPATH_0000089	subClassOf	OGMS_0000073	
EUPATH_0000091	subClassOf	EUPATH_0000310	
EUPATH_0000093	subClassOf	http://www.w3.org/2002/07/owl#Thing	
EUPATH_0000094	subClassOf	EUPATH_0000307	
EUPATH_0000095	subClassOf	EUPATH_0000307	
EUPATH_0000096	subClassOf	http://www.w3.org/2002/07/owl#Thing	
EUPATH_0000097	subClassOf	EUPATH_0000309	
EUPATH_0000100	subClassOf	EUPATH_0000309	
EUPATH_0000110	subClassOf	OGMS_0000083	
EUPATH_0000113	subClassOf	EUPATH_0000310	
EUPATH_0000120	subClassOf	EUPATH_0000307	
EUPATH_0000144	subClassOf	EUPATH_0000304	
EUPATH_0000191	subClassOf	EUPATH_0000310	
EUPATH_0000215	subClassOf	EUPATH_0000309	
EUPATH_0000301	subClassOf	EUPATH_0000093	
EUPATH_0000302	subClassOf	EUPATH_0000093	
EUPATH_0000303	subClassOf	EUPATH_0000093	
EUPATH_0000304	subClassOf	EUPATH_0000093	
EUPATH_0000306	subClassOf	EUPATH_0000096	
EUPATH_0000307	subClassOf	EUPATH_0000096	
EUPATH_0000309	subClassOf	EUPATH_0000328	
EUPATH_0000310	subClassOf	EUPATH_0000328	
EUPATH_0000311	subClassOf	EUPATH_0000328	
EUPATH_0000317	subClassOf	OGMS_0000073	
EUPATH_0000328	subClassOf	http://www.w3.org/2002/07/owl#Thing	
GAZ_00000448	subClassOf	http://www.w3.org/2002/07/owl#Thing	
HP_0000952	subClassOf	EUPATH_0000309	
HP_0000975	subClassOf	EUPATH_0000309	
HP_0000980	subClassOf	EUPATH_0000309	
HP_0001744	subClassOf	EUPATH_0000309	
HP_0002013	subClassOf	EUPATH_0000309	
HP_0002027	subClassOf	EUPATH_0000309	
HP_0002315	subClassOf	EUPATH_0000309	
HP_0003419	subClassOf	EUPATH_0000309	
HP_0100749	subClassOf	EUPATH_0000309	
IAO_0000408	subClassOf	OGMS_0000083	
IAO_0000414	subClassOf	OGMS_0000083	
ICEMR_0000001	subClassOf	EUPATH_0000093	
ICEMR_0000002	subClassOf	EUPATH_0000096	
ICEMR_0000003	subClassOf	EUPATH_0000093	
ICEMR_0101031	subClassOf	EUPATH_0000310	
ICEMR_0101034	subClassOf	ICEMR_0000001	
